DATE,O,H,L,C,V
2019.02.18 00:00:00,1.8077,1.81477,1.80316,1.81119,156761
2019.02.19 00:00:00,1.8112,1.826,1.80837,1.82237,182081
2019.02.20 00:00:00,1.82179,1.82591,1.81706,1.82107,188715
2019.02.21 00:00:00,1.82102,1.84468,1.80945,1.83751,215068
2019.02.22 00:00:00,1.83769,1.83993,1.82234,1.83008,149673
2019.02.25 00:00:00,1.8304,1.83142,1.81933,1.82648,149144
2019.02.26 00:00:00,1.82644,1.85008,1.82609,1.84392,172005
2019.02.27 00:00:00,1.84364,1.8696,1.84069,1.86314,183974
2019.02.28 00:00:00,1.86353,1.87221,1.85787,1.86889,207306
2019.03.01 00:00:00,1.869,1.87086,1.85738,1.86407,195110
2019.03.04 00:00:00,1.86349,1.872,1.85721,1.8579,199499
2019.03.05 00:00:00,1.85839,1.86363,1.8521,1.85951,196688
2019.03.06 00:00:00,1.85948,1.87512,1.85471,1.87227,169024
2019.03.07 00:00:00,1.87223,1.87727,1.86044,1.86458,162221
2019.03.08 00:00:00,1.8647,1.8691,1.84315,1.8468,163617
2019.03.11 00:00:00,1.84479,1.86556,1.83887,1.8653,168408
2019.03.12 00:00:00,1.86529,1.8776,1.84054,1.84622,197404
2019.03.13 00:00:00,1.84622,1.88486,1.8462,1.87639,169273
2019.03.14 00:00:00,1.87638,1.88603,1.87021,1.87631,184405
2019.03.15 00:00:00,1.87631,1.87744,1.86167,1.87525,154553
2019.03.18 00:00:00,1.87667,1.87793,1.85916,1.86495,131747
2019.03.19 00:00:00,1.86497,1.87415,1.86338,1.87106,133113
2019.03.20 00:00:00,1.87117,1.8782,1.84946,1.85085,169617
2019.03.21 00:00:00,1.85079,1.85221,1.83365,1.84326,193524
2019.03.22 00:00:00,1.84327,1.86598,1.84251,1.86371,194614
2019.03.25 00:00:00,1.86534,1.86725,1.85155,1.85483,163116
2019.03.26 00:00:00,1.8548,1.85958,1.84665,1.85045,159926
2019.03.27 00:00:00,1.85045,1.87296,1.84966,1.85639,187020
2019.03.28 00:00:00,1.85624,1.86262,1.84153,1.8429,181906
2019.03.29 00:00:00,1.84285,1.85306,1.82958,1.83553,163110
2019.04.01 00:00:00,1.83107,1.84774,1.82649,1.84173,146337
2019.04.02 00:00:00,1.84154,1.85999,1.83262,1.8558,165968
2019.04.03 00:00:00,1.85587,1.86075,1.84376,1.84908,158663
2019.04.04 00:00:00,1.84911,1.85322,1.834,1.83829,141097
2019.04.05 00:00:00,1.83843,1.84132,1.82958,1.83365,127417
2019.04.08 00:00:00,1.83356,1.84311,1.82957,1.83144,116456
2019.04.09 00:00:00,1.83151,1.83543,1.8253,1.83173,128530
2019.04.10 00:00:00,1.83177,1.83748,1.82387,1.82452,131772
2019.04.11 00:00:00,1.82478,1.83567,1.82414,1.83188,115574
2019.04.12 00:00:00,1.83201,1.83528,1.82118,1.82241,120029
2019.04.15 00:00:00,1.82185,1.8286,1.81944,1.82572,106963
2019.04.16 00:00:00,1.82592,1.83254,1.81774,1.81801,125429
2019.04.17 00:00:00,1.81781,1.8233,1.80961,1.81605,125165
2019.04.18 00:00:00,1.81579,1.81987,1.81107,1.81597,139214
2019.04.19 00:00:00,1.81616,1.81865,1.81505,1.81604,221548
2019.04.22 00:00:00,1.8164,1.82078,1.81502,1.81926,67952
2019.04.23 00:00:00,1.81894,1.82998,1.81794,1.82113,93455
2019.04.24 00:00:00,1.82125,1.8447,1.82072,1.83876,115858
2019.04.25 00:00:00,1.8385,1.84292,1.83617,1.83822,120643
2019.04.26 00:00:00,1.83825,1.83927,1.83058,1.83331,127578
2019.04.29 00:00:00,1.83511,1.83613,1.83065,1.83251,89601
2019.04.30 00:00:00,1.8325,1.85369,1.83008,1.84828,119882
2019.05.01 00:00:00,1.84842,1.86167,1.84525,1.86004,104892
2019.05.02 00:00:00,1.85958,1.86302,1.85466,1.86063,103676
2019.05.03 00:00:00,1.86074,1.87677,1.85657,1.87513,106016
2019.05.06 00:00:00,1.88447,1.88793,1.86953,1.87279,132312
2019.05.07 00:00:00,1.87281,1.87798,1.85952,1.86393,143707
2019.05.08 00:00:00,1.86381,1.86664,1.85284,1.86038,137974
2019.05.09 00:00:00,1.8604,1.86743,1.85903,1.86072,142855
2019.05.10 00:00:00,1.86157,1.86425,1.8541,1.85705,163172
2019.05.13 00:00:00,1.8582,1.87144,1.85602,1.86524,132071
2019.05.14 00:00:00,1.86515,1.86719,1.85736,1.85782,124530
2019.05.15 00:00:00,1.85777,1.86706,1.85034,1.85341,134424
2019.05.16 00:00:00,1.85341,1.86242,1.85028,1.8562,123795
2019.05.17 00:00:00,1.85625,1.8589,1.85028,1.85084,118125
2019.05.20 00:00:00,1.84403,1.84733,1.83673,1.84128,99300
2019.05.21 00:00:00,1.84166,1.86137,1.8371,1.84527,138654
2019.05.22 00:00:00,1.84535,1.84977,1.83433,1.83946,105265
2019.05.23 00:00:00,1.83947,1.84237,1.83384,1.83386,117929
2019.05.24 00:00:00,1.83462,1.8418,1.82972,1.83431,79926
