step;tick_counter;strelograph_work;pendulum_work;pendulum_control;pendulum_front;sagging_left;sagging_right;satellite;discrete_signals;position
0;91560.0;-3.4523641496118103;0.3628462791961055;2.432404540763656;0.4904491481672721;7.035755478662054;5.609201931269524;-0.0038192771084336;0.0;0.0
1;91926.0;-3.4523641496118103;0.3628462791961055;2.639318885448916;0.4904491481672721;7.035755478662054;5.609201931269524;-0.0038192771084336;0.0;0.185
2;92331.0;-3.4523641496118103;0.5708853883758991;2.639318885448916;0.2844605059370337;7.266435986159166;5.609201931269524;-0.0038192771084336;0.0;0.37
3;92843.0;-3.4523641496118103;0.5708853883758991;2.432404540763656;0.4904491481672721;7.497116493656293;5.609201931269524;-0.0038192771084336;0.0;0.5549999999999999
4;93120.0;-3.4523641496118103;0.7789244975556926;2.225490196078425;0.2844605059370337;7.612456747404849;5.609201931269524;-0.0038192771084336;0.0;0.74
5;93608.0;-3.4523641496118103;0.7789244975556926;2.018575851393166;0.2844605059370337;7.843137254901961;5.609201931269524;-0.0041664841182913;0.0;0.925
6;94158.0;-3.4523641496118103;1.1950027159152796;2.018575851393166;-0.1275167785234714;8.131487889273359;5.666287986367507;-0.0038192771084336;0.0;1.1099999999999999
7;94454.0;-3.4523641496118103;0.986963606735486;1.8116615067079351;0.0784718637067669;8.18915801614763;5.552115876171541;-0.0038192771084336;0.0;1.295
8;94926.0;-3.4523641496118103;0.986963606735486;1.8116615067079351;-0.1275167785234714;8.362168396770471;5.72337404146549;-0.0038192771084336;0.0;1.48
9;95417.0;-3.4523641496118103;0.986963606735486;1.8116615067079351;0.2844605059370337;8.362168396770471;5.780460096563473;-0.0038192771084336;0.0;1.665
10;95678.0;-3.4523641496118103;0.7789244975556926;1.6047471620227045;0.0784718637067669;8.362168396770471;5.837546151661456;-0.0038192771084336;0.0;1.85
11;96223.0;-3.4523641496118103;0.986963606735486;1.6047471620227045;0.0784718637067669;8.18915801614763;5.951718261857423;-0.0038192771084336;0.0;2.035
12;96503.0;-3.4523641496118103;0.986963606735486;2.018575851393166;-0.1275167785234714;8.18915801614763;6.0658903720533885;-0.0038192771084336;0.0;2.2199999999999998
13;97083.0;-3.2279463655610243;0.986963606735486;2.432404540763656;0.4904491481672721;8.073817762399074;6.122976427151372;-0.0038192771084336;0.0;2.405
14;97380.0;-3.2279463655610243;0.986963606735486;1.8116615067079351;0.4904491481672721;7.958477508650517;6.122976427151372;-0.0038192771084336;0.0;2.59
15;98006.0;-2.779110797459396;0.5708853883758991;1.8116615067079351;0.696437790397539;8.016147635524803;6.122976427151372;-0.0038192771084336;0.0;2.775
16;98331.0;-2.5546930134086097;0.5708853883758991;2.018575851393166;0.9024264326277772;7.958477508650517;6.122976427151372;-0.0038192771084336;0.0;2.96
17;98663.0;-2.5546930134086097;0.5708853883758991;2.432404540763656;1.108415074858044;8.016147635524803;6.180062482249355;-0.0038192771084336;0.0;3.145
18;98998.0;-2.5546930134086097;0.154807170016312;2.018575851393166;0.696437790397539;8.073817762399074;6.180062482249355;-0.0038192771084336;0.0;3.33
19;99679.0;-2.330275229357767;-0.2612710483432749;1.1909184726522142;1.3144037170882823;7.9008073817762465;6.180062482249355;-0.0038192771084336;0.0;3.515
20;99922.0;-2.105857445306981;-0.2612710483432749;1.6047471620227045;1.520392359318549;7.843137254901961;6.237148537347352;-0.0038192771084336;0.0;3.7
21;100411.0;-2.330275229357767;-0.0532319391634814;1.6047471620227045;1.3144037170882823;7.843137254901961;6.294234592445335;-0.0038192771084336;0.0;3.885
22;100908.0;-2.330275229357767;0.7789244975556926;1.6047471620227045;1.108415074858044;7.9008073817762465;6.294234592445335;-0.0038192771084336;0.0;4.07
23;101264.0;-2.5546930134086097;0.7789244975556926;10.502063983488114;1.3144037170882823;8.131487889273359;6.294234592445335;-0.0041664841182913;0.0;4.255
24;101789.0;-2.779110797459396;0.7789244975556926;-1.498968008255957;1.108415074858044;8.073817762399074;6.294234592445335;-0.0041664841182913;0.0;4.4399999999999995
25;102052.0;-2.5546930134086097;1.1950027159152796;-1.0851393188854672;0.4904491481672721;8.073817762399074;6.237148537347352;-0.0038192771084336;0.0;4.625
26;102593.0;-3.0035285815102384;0.7789244975556926;0.7770897832817241;0.9024264326277772;8.131487889273359;6.294234592445335;-0.0038192771084336;0.0;4.81
27;102868.0;-3.0035285815102384;0.986963606735486;1.397832817337445;0.696437790397539;8.131487889273359;6.294234592445335;-0.0038192771084336;0.0;4.995
28;103414.0;-3.0035285815102384;0.5708853883758991;1.397832817337445;0.696437790397539;8.016147635524803;6.294234592445335;-0.0038192771084336;0.0;5.18
29;103977.0;-3.2279463655610243;0.5708853883758991;1.6047471620227045;0.2844605059370337;7.785467128027676;6.294234592445335;-0.0038192771084336;0.0;5.365
30;104267.0;-3.0035285815102384;-0.677349266702862;1.8116615067079351;0.0784718637067669;7.67012687427912;6.294234592445335;-0.0038192771084336;0.0;5.55
31;104560.0;-3.0035285815102384;-0.677349266702862;1.8116615067079351;0.2844605059370337;7.612456747404849;6.351320647543318;-0.0038192771084336;0.0;5.735
32;105143.0;-3.0035285815102384;0.7789244975556926;1.8116615067079351;0.9024264326277772;7.381776239907722;6.294234592445335;-0.0038192771084336;0.0;5.92
33;105438.0;-3.0035285815102384;0.154807170016312;0.7770897832817241;0.696437790397539;7.3241061130334515;6.294234592445335;-0.0038192771084336;0.0;6.1049999999999995
34;106042.0;-2.779110797459396;-0.4693101575230685;0.3632610939112339;0.696437790397539;7.093425605536339;6.294234592445335;-0.0038192771084336;0.0;6.29
